,start_time,open,high,low,close,position
0,2017-08-17T21:02:00+08:00,1315.0,1319.0,1314.0,1313.5,24420
1,2017-08-17T21:05:00+08:00,1313.5,1323.0,1312.5,1318.0,24394
2,2017-08-17T21:08:00+08:00,1319.0,1319.5,1318.0,1317.5,24362
3,2017-08-17T21:11:00+08:00,1317.5,1319.5,1317.5,1318.0,24230
4,2017-08-17T21:14:00+08:00,1318.0,1321.5,1318.0,1321.5,24034
5,2017-08-17T21:17:00+08:00,1320.0,1320.0,1319.0,1318.0,23900
6,2017-08-17T21:20:00+08:00,1318.0,1318.0,1313.5,1317.0,23870
7,2017-08-17T21:23:00+08:00,1318.0,1318.0,1315.5,1315.0,23822
8,2017-08-17T21:26:00+08:00,1315.0,1316.0,1313.5,1315.0,23780
9,2017-08-17T21:30:00+08:00,1314.5,1315.0,1313.0,1314.0,23758
10,2017-08-17T21:33:00+08:00,1314.0,1314.5,1309.5,1310.5,23676
11,2017-08-17T21:36:00+08:00,1310.0,1310.5,1310.0,1310.5,23644
12,2017-08-17T21:39:00+08:00,1311.0,1314.0,1311.0,1312.0,23626
13,2017-08-17T21:42:00+08:00,1313.0,1313.0,1313.0,1312.5,23612
14,2017-08-17T21:47:00+08:00,1312.5,1317.0,1312.5,1315.0,23578
15,2017-08-17T21:51:00+08:00,1315.0,1315.0,1313.0,1314.5,23564
16,2017-08-17T21:55:00+08:00,1315.0,1315.0,1313.5,1312.5,23550
17,2017-08-17T21:58:00+08:00,1312.5,1313.0,1312.5,1313.0,23520
18,2017-08-17T22:01:00+08:00,1312.5,1314.5,1312.5,1314.5,23474
19,2017-08-17T22:06:00+08:00,1316.0,1316.0,1314.0,1315.5,23462
20,2017-08-17T22:09:00+08:00,1315.0,1316.0,1313.5,1313.5,23452
21,2017-08-17T22:12:00+08:00,1313.0,1314.0,1313.0,1312.5,23446
22,2017-08-17T22:15:00+08:00,1312.5,1312.5,1312.0,1312.0,23392
23,2017-08-17T22:18:00+08:00,1311.5,1311.5,1311.0,1312.0,23388
24,2017-08-17T22:21:00+08:00,1313.0,1313.0,1312.0,1314.0,23400
25,2017-08-17T22:26:00+08:00,1314.5,1314.5,1312.0,1314.0,23398
26,2017-08-17T22:29:00+08:00,1313.0,1313.0,1312.5,1314.0,23400
27,2017-08-17T22:32:00+08:00,1312.5,1312.5,1310.5,1311.5,23354
28,2017-08-17T22:35:00+08:00,1311.5,1311.5,1311.5,1310.5,23358
29,2017-08-17T22:38:00+08:00,1310.5,1312.5,1310.0,1312.5,23360
30,2017-08-17T22:41:00+08:00,1312.5,1314.0,1312.5,1314.0,23370
31,2017-08-17T22:45:00+08:00,1314.0,1314.0,1312.0,1312.0,23342
32,2017-08-17T22:48:00+08:00,1311.5,1313.5,1311.5,1313.0,23346
33,2017-08-17T22:52:00+08:00,1313.0,1313.5,1313.0,1312.5,23342
34,2017-08-17T22:56:00+08:00,1313.5,1314.0,1313.5,1317.0,23300
35,2017-08-17T22:59:00+08:00,1318.0,1320.0,1315.0,1316.0,23286
36,2017-08-17T23:02:00+08:00,1316.5,1320.0,1316.5,1319.5,23296
37,2017-08-17T23:05:00+08:00,1319.0,1320.0,1319.0,1319.5,23246
38,2017-08-17T23:08:00+08:00,1318.5,1319.5,1318.0,1317.5,23222
