,start_time,open,high,low,close,position
0,2017-08-17T21:00:00+08:00,1315.0,1319.0,1314.0,1314.0,24528
1,2017-08-17T21:01:00+08:00,1314.0,1315.0,1314.0,1315.0,24466
2,2017-08-17T21:02:00+08:00,1313.5,1313.5,1311.5,1313.5,24420
3,2017-08-17T21:03:00+08:00,1313.5,1323.0,1312.5,1322.0,24386
4,2017-08-17T21:04:00+08:00,1320.0,1321.0,1318.0,1318.5,24396
5,2017-08-17T21:05:00+08:00,1318.5,1320.0,1318.0,1318.0,24394
6,2017-08-17T21:06:00+08:00,1319.0,1319.5,1318.5,1319.0,24384
7,2017-08-17T21:07:00+08:00,1318.5,1318.5,1318.0,1318.0,24374
8,2017-08-17T21:08:00+08:00,1317.5,1318.5,1317.5,1317.5,24362
9,2017-08-17T21:09:00+08:00,1317.5,1319.0,1317.5,1318.5,24326
10,2017-08-17T21:10:00+08:00,1318.5,1319.5,1318.5,1319.5,24288
11,2017-08-17T21:11:00+08:00,1319.5,1319.5,1318.0,1318.0,24230
12,2017-08-17T21:12:00+08:00,1318.0,1320.0,1318.0,1320.0,24124
13,2017-08-17T21:13:00+08:00,1320.0,1321.5,1320.0,1320.5,24048
14,2017-08-17T21:14:00+08:00,1321.0,1321.5,1320.0,1321.5,24034
15,2017-08-17T21:15:00+08:00,1320.0,1320.0,1319.0,1320.0,23992
16,2017-08-17T21:16:00+08:00,1320.0,1320.0,1319.0,1320.0,23924
17,2017-08-17T21:17:00+08:00,1320.5,1320.5,1318.0,1318.0,23900
18,2017-08-17T21:18:00+08:00,1318.0,1318.0,1313.5,1313.5,23870
19,2017-08-17T21:19:00+08:00,1314.5,1317.0,1314.5,1316.5,23870
20,2017-08-17T21:20:00+08:00,1317.0,1317.0,1316.0,1317.0,23870
21,2017-08-17T21:21:00+08:00,1318.0,1318.0,1316.0,1316.0,23866
22,2017-08-17T21:22:00+08:00,1315.5,1317.5,1315.5,1316.5,23864
23,2017-08-17T21:23:00+08:00,1317.0,1317.0,1315.0,1315.0,23822
24,2017-08-17T21:24:00+08:00,1315.0,1316.0,1314.5,1315.5,23802
25,2017-08-17T21:25:00+08:00,1314.5,1314.5,1313.5,1314.0,23784
26,2017-08-17T21:26:00+08:00,1315.0,1315.0,1314.0,1315.0,23780
27,2017-08-17T21:27:00+08:00,1314.5,1315.0,1313.0,1315.0,23766
28,2017-08-17T21:28:00+08:00,1315.0,1315.0,1315.0,1315.0,23768
